title,subtitle,author,prices,characteristics,description
"Loue Studio meublé lumineux, secteur Victoire - 17m², Bordeaux (33)","Locations immobilières
Bordeaux (33800)",**** ******,"{'Loyer': '545 €', 'Charges locatives': '40 €', 'Total par mois': '585 €'}",{},"Loue studio meublé - 17m² - secteur Victoire - 2è étage d’un petit immeuble en pierre.
Cuisine équipée.
Lumineux, rénové récemment.
545 € + 40 € de charges.
Disponible à partir du 30 mars."
Loue une chambre meublée en colocation dans appartement 53m²,"Locations immobilières
Lyon (69009)",Véronique Desigaux,"{'Loyer': '390 €', 'Charges locatives': '60 €', 'Total par mois': '450 €'}",{},"Chers Gens de Confiance,
Loue une chambre dans colocation meublée de 53m², en complément de 2 locataires. Libre au 30 mars. A Lyon 9e, proche de Valmy et métro D, au calme dans une résidence avec interphone.L’appartement est au RDC surélevé. La chambre comporte un lit 120, une commode, un placard et un bureau. La cuisine est équipée d’un frigidaire, une cuisinière avec four, un micro ondes, table et chaises. Lave linge. SDB avec douche, WC indépendant. Idéal étudiant ou jeune actif. Garant exigé, 2 mois de caution. Contact sur GDC avec dossier complet."
Loue appt 2/3 pièces meublé 41m² à Paris 9ème quartier Trinité/St Lazare,"Locations immobilières
Paris (75009)",**** ******,"{'Loyer': '1\u202f490 €', 'Charges locatives': '70 €', 'Total par mois': '1\u202f560 €'}",{},"2/3 pièces de 41m² meublé plein sud avec :
-Grand séjour très lumineux avec deux balcons donnant sur la Tour Eiffel et l’Eglise de la Trinité,
-avec un espace bureau séparé,
-et une cuisine américaine équipée (yc. Lave-vaisselle et lave-linge),
-Chambre avec balcon et un lit double (Queen size bed),
-Salle de bains avec douche, WC et lavabo,
-Nombreux rangements sur mesure,
-Espace vélos dans la cour arrière de l’immeuble,
-Cave
-Place de parking dans la cour de l’immeuble possible en complément.
-Accès via escalier de service (sans ascenseur)
Beaucoup de charme et très lumineux, cet appartement est idéalement situé dans un bel immeuble ancien, dans le quartier de La Nouvelle Athènes, à 5 minutes à pied de l’Opéra, Saint-Lazare et de la rue des Martyrs.
6ème étage

Loyer : 1490 euros par mois hors charges
Disponible tout de suite."
Propose Colocation à 2 personnes dans un appartement de 60m² (centre d’Angers),"Locations immobilières
Angers (49100)",Alban Fouché,"{'Loyer': '445 €', 'Charges locatives': '45 €', 'Total par mois': '490 €'}",{},"Chers Gens de Confiance,
Je propose une colocation dans le centre d’Angers.
La chambre que je propose est mansardée et fait 13m² au sol (9m² selon la loi Carrez)

J’habite boulevard Carnot (centre d’Angers) à 5 min à pied de la BU et du RU st Serge.
L’appartement se situe le long des deux lignes (A et B) de TRAM.
Le centre d’Angers (place du Ralliement) peut être rejoint à pied en 5-7 minutes également.
Mon appartement est de 43m² selon la loi carrez (et 60m² au sol)

Si je propose de louer la chambre c’est pour pouvoir vivre dans l’esprit d’une colocation à deux.
La cuisine est totalement aménagée (four, micro-ondes, plaques chauffante, lave vaisselle, mixeur, cuiseur à riz, réfrigérateur (avec une partie congélation)) , une salle de bain totalement rénovée (en mai 2023) et des toilettes séparées. Je possède également lave linge et tancarville qui seront tout à fait possible d’utiliser.

La chambre mise en location dispose :
- D’un grand bureau d’angle et fauteuil
- D’un lit 140cm x 190cm
- D’un dressing (cf photos).

Nous partagerions une salle de vie de 17m² qui possède d’assez grands volumes sous le plafond.
Ma chambre se situe dans la mezzanine et se trouve juste au dessus de la salle de vie.

Je suis étudiant en 4ème année de médecine et l’objectif de cette coloc est avant tout de partager un lieu de vie tranquille propice à l’étude. Cependant rien n’empêche l’organisation de diner/soirée. Je suis moi même un bon vivant !

Concernant le prix de location :
- La location s’élève à 445€/mois
- Les charges (Box, eau, charges communes de la copropriété) s’élèvent à 45€/mois
- L’électricité : le prix sera partagé en 2 mensuellement en fonction des dépenses. (estimation des dépenses de l’année passée : 30€/mois/personne)

Avantage de cet appartement :
- La localisation dans le centre d’Angers : à proximité de deux supermarchés, du RU et de la BU st Serge, à deux pas des deux lignes du tram.
- Appartement équipé.
- La chambre à louer est coté cour donc calme.
- Salle de bain totalement rénovée et pratique
- Salle de vie bien exposée et lumineuse.

Inconvénients :
- Ma chambre n’est pas fermée et donne sur la pièce de vie.
- La chambre à louer se situe coté nord mais reste bien éclairée.

Projet fait :
- Changement des radiateurs pour un chauffage plus écologique et économique.

Projets à venir :
- Aménagement d’étagères dans la pièce de vie.

Si vous ou bien un membre de votre entourage est intéressé merci de me contacter par téléphone."
Loue studio meublé 25m² Paris 13ème proche gare de Lyon,"Locations immobilières
Paris (75013)",**** ******,"{'Loyer': '780 €', 'Charges locatives': '70 €', 'Total par mois': '850 €'}",{},"Je propose un studio meublé entièrement rafraîchi situé dans le 13ème. Idéalement situé sur la rive gauche de Paris, le long de la Seine, au sein d’une résidence. Le studio donnant sur la cour intérieur est très calme mais aussi lumineux (5ème étage). Possibilité de transformer la banquette en lit double (tiroir de lit et dosseret).

Sa localisation vous permet de profiter des commerces et des équipements culturels et de loisirs comme plusieurs cinémas et la salle de spectacle à Paris Bercy.

Les avantages du logement :
Un local à vélo sécurisé est disponible dans la résidence. Vous pouvez y laisser votre vélo gratuitement.
Une laverie est aussi à votre disposition dans la résidence.

À proximité de la gare d’Austerlitz et de la gare de Lyon.
Proche de 4 lignes de métro (6, 14, 5 et 10) et du RER C.
Un quartier calme au cœur de Paris.
À quelques minutes à pied de l’Université Pierre et Marie Curie Sciences et Médecine (UPMC).
À environ 5 mn à pied de l’Université Paris – Sorbonne Lettres et Civilisations.
Un accès sécurisé avec digicode/interphone.
Un responsable de résidence disponible en semaine pendant ses horaires de service

Le studio contient :
Une banquette lit (90x200 cm) avec dosseret dépliable pour former lit double (version jour/nuit).
Un grand bureau avec bibliothèque murale.
Un fauteuil.
Une table deux places + deux chaises.
Une kitchenette équipée (évier, plaques électriques, réfrigérateur).
Salle d’eau avec douche et WC.
Prises TV, téléphone, compteur EDF & chauffage individuel.

780€ (+70€ de charges) soit un total de 850€
375€ de frais d’état des lieux et rédaction de bail sont à prévoir.
Caution 1 mois / Éligible APL
Contactez moi si vous souhaitez le visiter :)"
Loue chambre - 12m² - 1 pièce - Metz 57000,"Locations immobilières
Metz (57000)",Paul Raymond,"{'Loyer': '490 €', 'Charges locatives': '60 €', 'Total par mois': '550 €'}",{},"Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
4 chambre(s) libre(s) dans une colocation de 1 chambres dans un appartment de 12m²

TOUT A ETE PENSE POUR VOUS
Une chambre dans ce superbe appartement de 4 colocataires entièrement rénové à quelques minutes à pieds de la gare.
Colocation idéale tout confort pour étudiant(e) ou Actifs All INCLUSIVE, vous n’aurez qu’à ramener vos valises.
TOUT EST PENSE POUR VOTRE CONFORT. ?
Vous aurez à votre disposition un Appartement de 85m² avec balcon, tout confort, sécurisé, accès digicode dans un immeuble propre et agréable. Proche des commodités et des transports.
*****VOTRE ENVIRONNEMENT
*Quartier très calme de jour comme de nuit parfait pour étudier ou vous reposer après une dure journée de travail
*Accès à l’immeuble sécurisé, avec badge et digicode
*Appartement situé au 1er étage
*Commodités (Supermarché, boulangerie, pharmacie) à proximité.
*****VOS DÉPLACEMENTS
*6 mn à pieds de la gare SNCF
*5mn à pieds du GRAND centre commercial MUSE et Pompidou
*Proche d’une salle de sport (BASIC FIT) et de la piscine (pour les adeptes de sport)
*Ligne de bus quasi au pieds de l’immeuble
****VOTRE CONFORT
*L’appartement et les chambres sont entièrement meublés, avec une déco Chic soignée
*La modernité de la cuisine entièrement équipée (micro onde, four, Nespresso, couverts, etc) vous apporteront une touche de légèreté quand vous cuisinez.
*Machine à laver et sèche linge à votre disposition
Un séjour très COSY meublé avec canapé et écran plat
Des chambres avec une belle déco
VENEZ POSEZ VOS VALISES sans le stress des démarches administratives (contrat EDF, Internet,etc)
*****POUR SEULEMENT
- Les charges d’immeuble d’immeuble (entretien, sorties des poubelles, électricité des communs)
- Eau chaude, froide
- Le chauffage
- La fibre optique et même l’électricité
- et même l’assurance habitation
Je m’occupe de tout, aucune souscription ou abonnement à faire.
Si vous êtes intéressés, je vous invite à me laisser un petit message de 3 lignes avec
- Votre profession (avec rémunération pour les salariés)
- La durée que vous souhaitez
Et je reviendrai vers vous sans faute dans la journée.
Je reste à votre disposition pour toutes informations.
Cordialement

Updated on 28/02/2024
Mise à jour le 28/02/2024"
Loue chambre - 12m² - 1 pièce - Rennes 35000,"Locations immobilières
Rennes (35000)",Paul Raymond,"{'Loyer': '390 €', 'Charges locatives': '0 €', 'Total par mois': '390 €'}",{},"Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
5 chambre(s) libre(s) dans une colocation de 1 chambres dans un appartment de 12m²

In english :

Shared furnished flat half way between the city center and all university ans ESC school. Adress of the appartment : 21 rue de lorient, Rennes.
Size of flat : 90m²
Total number of rooms : 5
Description of the flat : Shared furnished flat with 5 separate bedrooms, a kitchen (8m²) and bathroom/toilet (3m²).
Size of rooms : 2x12m² & 3x13m²
Description of the room : individual furnished room
Just near the appartment you can take bus or subway
Insurance : extra
Heating : included
Electricity : included
Cold water : included
Hot water : included
Internet : included
Other charges : NO

En Français :

Loue chambres meublées (de 13 à 15m²) dans petit collectif, calme, entrée sécurisée par badge et interphone. Location courte durée possible. Adresse de l’appartement : 21 rue de lorient, Rennes

En commun : Cuisine aménagée tout équipée (four, micro onde, frigidaire, congélateur, machine à laver le linge, plaques gaz, cafetière, grille pain … , vaisselle, couverts …), salle de bain avec douche et lavabo, WC séparé , placard, local 2 roues fermé à clé , parking collectif.

Descriptif de la chambre : parquet au sol, lit avec matelas, bureau, armoire avec penderie, fenêtre double vitrage avec volet roulant électrique. Literie fournie (housse de matelas, housse de couette, couette, oreiller). Accès internet fibre via wifi. Chaque chambre fermant à clé.

Bail individuel. Location éligible à l’APL

Situation :
- Bus et station de métro à proximité de l’appartement desservant toutes les universités et grande écoles, ainsi que le Campus de BRUZ
- Proche du périphérique rennais. (2 mn en voiture)
- Proche de Fac de RENNES 2 (5 mn à pied, 2 mn en bus)
- Proche du CHU Pontchailloux (10 mn à pied, 5 mn en bus)
- Préfecture – ESC (Ecole Supérieure de Commerce) (15 mn en bus)
– Centre ville
- Gare SNCF (13 mn en bus)
- Supermarché Leclerc (8 mn à pied, 5 mn en bus)

- De nombreux commerces à proximité de l’appartement (Pharmacie,Banque,Boulangerie,Tabac Presse…)

Updated on 28/02/2024
Mise à jour le 28/02/2024"
Loue chambre - 10m² - 1 pièce - Toulon 83000,"Locations immobilières
Toulon (83000)",Paul Raymond,"{'Loyer': '410 €', 'Charges locatives': '70 €', 'Total par mois': '480 €'}",{},"Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
3 chambre(s) libre(s) dans une colocation de 1 chambres dans un appartment de 10m²

** 1 CHAMBRE DISPONIBLE 13m²**
** Proche Stade Mayol/ Université de Toulon**
*** A 20mn BUS U du campus LA GARDE*** arrêt bus en bas de l’immeuble
COLOCATION ETUDIANTE T4 de 85m² , vue montagne/mer avec 3 chambres, ascenseur, WIFI FIBRE.
Nous proposons 3 chambres de 10 , 13 et 15m² en colocation de standing dans un appartement traversant de 85m² lumineux + terrasse aménagée de 10m², situé au 8ème étage d’un immeuble avec ascenseur.
Vous cherchez un appartement spacieux, fonctionnel et confortable, des prestations au top, une déco sympa et des propriétaires à l’écoute. Ne cherchez plus, vous l’avez trouvé ! Votre confort est notre priorité.

• Au calme et sans vis-à-vis
• Belle vue montagne et mer sur les ferries
• Grande terrasse de 10m² + loggia de 5m²
• Local à vélo
• Déco sympa, bien agencé et confortable,
• Lumineux et traversant,
• En parfait état (double vitrage alu, volets roulants électriques, porte blindée),
Proche de toutes commodités à pied (commerces, transports, centre commercial Mayol, port, centre-ville et université de Toulon et des écoles du Champs de mars/centre-ville), l’appartement se situe au 291 avenue Franklin Roosevelt.

À deux pas :
• L’université de Toulon + ISEN
UFR Faculté de droit
UFR Sciences Économiques et de Gestion
UFR Ingémédia – Sciences de l’Information et de la Communication
Département MMI - IUT de Toulon
Institut d’Administration des Entreprises(IAE)
• Lycée Dumont D’urville
A 10 à 15mn à pied de nombreuses écoles en centre-ville comme Maestris BTS, Optima formation ou encore EFFICOM business school.

À 20 à 25 mn :
• du Campus la GARDE, SeaTech,…
BUS U au pied de la résidence (bus toutes les 15mn) pour se rendre en moins de 20min à l’université de la Garde.
A 10 à 15 min en bus des plages du Mourillon (à 50m bus 3 ou 23)
**A propos de l’appartement**
Hall d’entrée
Séjour/salle à manger qui donne sur une grande terrasse
Grande cuisine séparée complètement équipée
• four, plaques à induction, micro-ondes,
• grand frigo/congélateur,
• Lave-vaisselle
• bouilloire, machine à café, grille-pain
• vaisselles et ustensiles de cuisine
• table dans loggia
3 chambres 10m², 13m², 15m² fermant à clé
• Lit double (140x200) avec literie de qualité
• Lit gigogne (80x200) dans chambre de 10m²
• Armoire
• Grand bureau avec tiroirs
• Table de chevet + luminaire
Toutes les chambres sont fournies avec couette oreillers, draps, housse de couette, taies d’oreiller et 2 serviettes de bain.
1 salle de bain avec baignoire + 1 WC indépendant
• Lave-linge + sèche-linge
• Sèche-cheveux
• Planche et fer à repasser
** La colocation en elle-même **
Tous les types de colocataires (étudiants) sont recherchés sachant que l’important est qu’ils aient l’esprit coloc.
Non- fumeur. Pas de couples ni d’animaux acceptés dans la colocation.
Bail individuel étudiant.
Garants, garantie studapart
Caution : 1 mois de loyer
Possibilité de bénéficier des aides au logement.
Merci de préparer un dossier locatif complet et de vous présenter (études et quelques mots sur vous…). Après étude, nous vous proposerons une visite et la signature du bail de colocation. 1er contact via messagerie.
A bientôt !
Dominique

Updated on 28/02/2024
Mise à jour le 28/02/2024"
Loue chambre - 14m² - 1 pièce - Marseille 13009,"Locations immobilières
Marseille (13009)",**** ******,"{'Loyer': '530 €', 'Charges locatives': '80 €', 'Total par mois': '610 €'}",{},"Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
Avec Studapart, trouvez le bon logement en quelques clics et en toute confiance !
3 chambre(s) libre(s) dans une colocation de 1 chambres dans un appartment de 14m²

La Rouviere 17e Etage. Superbe appartement refait intégralement à neuf. Équipé neuf et de qualité. MEUBLĖ INTĒGRALEMENT NEUF.
4 chambres. Vue mer splendide. Très nombreux rangements. A proximité de tous commerces et bus. Parking dans résidence sécurisée la nuit. Parking moto. Badge à l’entrée de l’immeuble. Porte blindée. Sdb baignoire et douche. Lits doubles. Bureaux lampes et grands placards. Vue mer et tout Marseille. Radiateurs neufs. Canapé, table, télévision UHD Fibre optique etc. Cuisine séparée : Four pyrolyse neuf. Réfrigérateur de 1m80 neuf, congélateur séparé de 4 grands bacs, lave vaisselle neuf, plaque vitrocéramique neuve. Buanderie : lave linge 8 kg et sèche linge 9 kg pompe à chaleur neuf. Vaisselle sur place, Nespresso etc…

Updated on 28/02/2024
Mise à jour le 28/02/2024"
"Loue Studio tout équipé - courte durée - coeur de Marseille 7ème - 1 chambre, 28m²","Locations immobilières
Marseille (13007)",**** ******,"{'Loyer': '650 €', 'Charges locatives': '0 €', 'Total par mois': '650 €'}",{},"Chers Gens de Confiance,

Disponible à partir du 9 mars 2024

Appartement de 28m² rue de La Croix 13007 disponible à la location jusqu’au 31 mai 2024 !

Équipement complet : vaisselle, mobilier, draps, internet en fibre et électricité

Lit 140x200
Climatisation réversible
Four chaleur tournante
Plaques induction
Nespresso

Loyer comprenant 100% des charges (avec électricité et internet)  : vous devez simplement ajouter une assurance habitation.

650€"
"Loue studio - 25m² - 1 pièce, 1 chambre - Asnieres 92600","Locations immobilières
Asnières-sur-Seine (92600)",**** ******,"{'Loyer': '672 €', 'Charges locatives': '24 €', 'Total par mois': '696 €'}",{},"A 5 minutes à pied du Métro Gabriel Péri (ligne N°13), dans une belle résidence de 2010, au rez-de-jardin, un très agréable studio meublé, résolument moderne avec une cuisine entièrement équipée, canapé lit, TV à écran plat, prise machine à laver, nombreux rangement, salle d’eau. L’ensemble est en parfaite état et disponible immédiatement. Une cave. Possibilité d’une place de parking en sous-sol (supplément de 80 € mensuel)."
"Loue appartement T3 Bordeaux, Porte de Bourgogne, vue Garonne et Pont de Pierre - 68m²","Locations immobilières
Bordeaux (33000)",**** ******,"{'Loyer': '1\u202f400 €', 'Charges locatives': '40 €', 'Total par mois': '1\u202f440 €'}",{},"Chers Gens de Confiance,
Je mets à la location un appartement T3 de 68m² à Bordeaux, vue sur la Garonne et le pont de Pierre, quai des Salinières. Il est composé d’un grand séjour avec cuisine aménagée et équipée, d’un WC indépendant, d’une salle d’eau avec double vasque, d’une chambre avec lit gigogne de 9m² et d’une grande chambre de 13m². A 2min du tram Porte de Bourgogne.
Traversant, lumineux, mobilier et équipements de qualité."
Loue appartement meublé 3 pièces à Paris 15ème - 74m²,"Locations immobilières
Paris (75015)",Marguerite de Cerval,"{'Loyer': '2\u202f160 €', 'Charges locatives': '130 €', 'Total par mois': '2\u202f290 €'}",{},"Au 2ème étage d’un immeuble haussmanien, appartement récemment rénové, clair et spacieux. Entrée, cuisine équipée, grand séjour, une chambre attenante et une chambre sur cour, salle de bains, toilettes séparées, grande capacité de rangement.
Local à vélos/poussettes, cave, parking à louer à proximité.
Métro Félix Faure / Commerce (L8) et Convention (L12)
Visites les 2 et 4 mars 2024 ."
"Propose colocation Nation 75m² fin Mars - 2 chambres, Paris 20ème","Locations immobilières
Paris (75020)",**** ******,"{'Loyer': '1\u202f100 €', 'Charges locatives': '0 €', 'Total par mois': '1\u202f100 €'}",{},"Chers Gens de Confiance,

Ma coloc s’en allant vivre avec son copain, je suis à la recherche de son ou sa remplaçante à compter de fin Mars

L’appartement fait 75m², située à Nation sur le cours de Vincennes. Grand espace de vie, cuisine équipée + buanderie. Toilettes et sdb séparées, grands placards et même petit dressing. Il est situé au 7ème étage, traversant et exposé plein sud côté salon. Petit plus nous avons un grand balcon qui nous permet de boire des petits spritz l’été dans nos chaises longues. Nous avons actuellement une femme de ménage que je souhaite garder.

Pour ma part je suis Mathilde, j’ai 28 ans et je suis commerciale dans la tech. Je suis facile à vivre, très sociable et une grande épicurienne dans l’âme. J’aime voyager, amatrice d’apéro et de restos en tout genre, mais aussi grande fan des soirées l’amour est dans le pré le lundi soir à l’appart.

Je suis à la recherche d’une personne qui travaille actuellement en CDI (à la demande du propriétaire), qui soit dans la
Même tranche d’âge que moi. J’aime autant quelqu’un qui soit de la même nature que moi avec qui il sera facile de partager des moments mais quelqu’un qui respecte aussi mon espace, un juste milieu somme toute 😌

N’hésitez pas à me contacter si l’annonce vous intéresse et que vous vous reconnaissez dans la description,

PS (l’appart est à 2200 euros total, donc 1100/personne)

Mathilde"
"Loue Appartement 4 pièces Centre Gare Grand standing - 80m², Saint-Cyr-l’École (78)","Locations immobilières
Saint-Cyr-l’École (78210)",**** ******,"{'Loyer': '1\u202f500 €', 'Charges locatives': '110 €', 'Total par mois': '1\u202f610 €'}",{},"Chers Gens de Confiance,
4 pièces 79,85m², en plein centre-ville, résidence grand standing Villa Carina, à 750 mètres (10 minutes à pieds) de la gare (Lignes C,N,U,T13), à deux pas des écoles et commerces, au 2e surélevé, traversant Nord-Sud, parqueté, lumineux, calme, comprenant : une entrée avec placard-miroir, un séjour avec balcon orienté Sud donnant sur jardin, une cuisine meublée&équipée orientée Sud, trois chambres avec placard, une salle de bains, une salle d’eau et un WC séparé.
Eau chaude et chauffage individuels électriques.
Cave, Box double fermé en sous-sol.
Ascenseur, Interphone, digicode, belles prestations.
Libre fin mars. 1.500 €/mois + 110 € provision charges. Meublé possible;"
Loue adresse très recherchée sur Versailles Notre Dame - 2 pièces en meublée haut de gamme - 33m²,"Locations immobilières
Versailles (78000)",**** ******,"{'Loyer': '1\u202f435 €', 'Charges locatives': '65 €', 'Total par mois': '1\u202f500 €'}",{},"Chers Gens de Confiance,

Camille T. Immobilier vous présente une superbe opportunité de location meublée. Découvrez cet appartement haut de gamme au coeur de Versailles Notre Dame ! Situé au 1er étage d’une adresse prestigieuse, à proximité immédiate de toutes les commodités, à 8 minutes à pied de la place du marché et de la gare Rive Droite et à seulement 5 minutes à pied de l’entrée du parc du château par la Grille de la Reine, cet appartement à tout pour plaire.

Entièrement rénové avec soin et des matériaux de qualité, ce charmant 2 pièces est proposé à la location meublée. Son exposition plein sud et son calme absolu en font un véritable havre de paix. La pièce de vie, lumineuse et conviviale, dispose d’une cuisine aménagée de façon optimale avec des électroménagers de qualités. Les deux fenêtres apportent une luminosité naturelle et une ambiance sereine à cet espace de vie.

La chambre, spacieuse et élégante, offre un grand dressing intégré, un lit 160 confortable avec coffre de rangement, ainsi qu’un bel espace canapé à aménager selon vos envies. Les deux fenêtres de la chambre offrent également une atmosphère apaisante et lumineuse. Une salle d’eau moderne avec toilette intégré complète l’ensemble.

En annexe l’appartement dispose d’une cave.

L’intégralité de cet appartement a été rénovée avec soin, offrant ainsi une location meublée de qualité. Une opportunité rare dans ce quartier très prisé de Versailles Notre Dame.

Pour les visites, seuls les dossiers complets et sérieux seront étudiés. Ne manquez pas cette occasion unique !"
Loue Mois de Mars - appartement Paris 20ème Village Jourdain - 52m²,"Locations immobilières
Paris (75020)",**** ******,"{'Loyer': '1\u202f600 €', 'Charges locatives': '100 €', 'Total par mois': '1\u202f700 €'}",{},"LOCATION MOIS DE MARS

Appartement hausmannien à Jourdain dans le 20ème. 54m² avec 5m² de balcon filant plein sud. L’appartement est traversant, au 5ème étage SANS ascenseur, 3 pièces meublées, avec cuisine séparée toute équipée où il est possible de manger à deux, une grande chambre et un salon salle à manger avec canapé lit confortable.
Salle de douche à l’italienne et toilettes séparées !

Loyer mensuel 1950 euros (non charges comprises)"
"Loue maison individuelle Biarritz - 4 chambres, 107m²","Locations immobilières
Biarritz (64200)",**** ******,"{'Loyer': '2\u202f500 €', 'Charges locatives': '104 €', 'Total par mois': '2\u202f604 €'}",{},"Chers Gens de Confiance, rare à la location, maison individuelle avec extérieur et à quelques minutes de la plage. Pièce de vie et cuisine équipée, quatre chambres et deux salles d’eau. À découvrir sans tarder."
"Loue bel appartement 3 pièces vide - Saint Ouen - avec terrasse, cave et parkings - 73m², Saint-Ouen-sur-Seine (93)","Locations immobilières
Saint-Ouen-sur-Seine (93400)",**** ******,"{'Loyer': '1\u202f533 €', 'Charges locatives': '105 €', 'Total par mois': '1\u202f638 €'}",{},"Chers Gens de Confiance,

Rue Maurice Utrillo, à 8 min du métro Mairie de Saint-Ouen, nous vous proposons au 6ème et dernier étage avec ascenseur d’une résidence récente et d’excellente qualité avec gardien, un bel appartement avec cave et 2 emplacements de parking.
3 pièces traversant, en bon état s’ouvrant sur une belle terrasse et un large balcon.
Le double séjour et une chambre donnent accès à la terrasse plein ciel avec une vue totalement dégagée, la seconde chambre et la cuisine s’ouvrent sur le balcon filant.

Cet appartement dispose d’une cuisine aménagée (placards, plaques, four), d’une buanderie, d’une salle de bains avec fenêtre. A voir rapidement."
Loue Chambre meublée 25m² avec salle d’eau privée dans grande maison en coliving à Rennes (35),"Locations immobilières
Rennes (35000)",Thibault Cartier,"{'Loyer': '600 €', 'Charges locatives': '150 €', 'Total par mois': '750 €'}",{},"Venez vivre la grande expérience du Coliving avec KenavHome !

Venez poser vos valises dans une somptueuse maison située rue Bigot de Préameneu, à proximité immédiate de la gare et du centre-ville de Rennes. Idéalement situé, à quelques minutes à pied des commerces et des transports en commun (bus et métro) notre Coliving propose 12 chambres indépendantes entièrement meublées et décorées avec goût disposant chacune d’une salle de bain privative.
Au niveau du cadre de vie, la maison de 240m², entièrement rénovée en 2023 et 2024, dispose d’un grand jardin avec terrasse aménagée et de nombreux espaces communs, spacieux et soigneusement meublés et décorés :

Nos maisons sont toutes entièrement rénovées et pourvues d’espaces communs pensés pour pouvoir partager de bons moment entre colocs :

👇

🍸🛋Magnifique séjour / salle à manger
🍽👨‍🍳 Grande Cuisine super équipée (tout l’électroménager est doublé)
💪🚴‍♂️Salle de sport avec machines de fitness/musculation
🎞🕹Salle de cinéma avec vidéoprojecteur ou TV et console de jeux
🏕🌤Jardin avec BBQ et mobilier de jardin
🧼🧺Buanderie (2 machines à laver et 2 sèche-linge)
🅿🚗 stationnement facile dans la rue ou devant la maison

Le loyer (entre 650€ et 850 € selon la chambre) est TOUT INCLUS et comprend de nombreux services
👇
🚿🔌Eau, électricité, gaz
🌍📡Connexion internet (fibre)
🧾🖋️Assurance habitation
🧹👨‍🔧 Ménage des parties communes toutes les semaines, entretien et maintenance
📺🎶 Netflix
🎮🕹️ Console et jeux vidéos
🎙️🎨 Animations avec la communauté KenavHome (livraison de recettes avec ingrédients tous les mois, after works, sorties et proposistions)
📳💬 Un interlocuteur à l’écoute, dédié et réactif pour vous faciliter le quotidien dans votre logement

Vous êtes intéressés ? Envoyez-nous vite un message ou allez faire un tour sur notre site internet pour accéder à plus d’infos et faire une demande de réservation en ligne.

Notre équipe vous recontacte dans les plus brefs délais pour vous proposer un échange en viso afin de faire le point sur votre besoin et vous proposer la chambre de vos rêves.

N’hésitez pas aussi à aller consulter nos avis Google pour lire les témoignages de nos locataires

Infos pratiques :
- Bail individuel
- logement éligible aux APL
- aucun frais d’agence
- dépôt de garantie : un mois de loyer charges comprises seulement
- préavis de départ : 1 mois
- plus de photos et visites virtuelles de toutes nos maisons sur le site web de KenavHome

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://***********.fr/"
Loue 2 pièces Paris 7ème Bail mobilité - 36m²,"Locations immobilières
Paris (75007)",Nadège Palandri,"{'Loyer': '1\u202f710 €', 'Charges locatives': '90 €', 'Total par mois': '1\u202f800 €'}",{},"Chers Gens de Confiance,

Paris 7ème je loue un 2 pièces avec balcon sur la rue Cler (piétonne). 36m². Bail mobilité ou résidence secondaire.

Disponible à partir du 1er mars pour location en bail mobilité, mutation professionnelle, résidence secondaire ou code civil (bail pour résidence principale exclu).
Bien rare avec balcon et situé rue Cler. Parquet, cheminées, ascenseur. Gardienne. Tout confort : canapé convertible matelas confort, Tv, espace télétravail, lit King size. Entièrement équipé, prêt à vivre (vaisselle, Nespresso, frigo, lave vaisselle, lave linge, four, micro-onde). Cave partagée.
Entièrement meublé. Belle prestation, Tous les commerces au pied de l’immeuble. Idéalement situé.
Wifi possible pour 30€ supplément par mois.

Plafonnement de loyer 39,5x36 = 1430€
Complément de loyer balcon et cave partagée : 280€
Soit 1710€ hors charges"
Loue T3 - 61m² - Paris,"Locations immobilières
Paris (75011)",**** ******,"{'Loyer': '1\u202f700 €', 'Charges locatives': '80 €', 'Total par mois': '1\u202f780 €'}",{},"- BASTILLE / LAPPE -
Superbe 3 pièces refait à neuf en 3ème étage sans ascenseur, avec double exposition comprenant un salon avec cuisine semi ouverte, deux chambres dont une sur rue, une salle d’eau et un WC indépendant. Gardien, abris à vélos.
Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 1722.33 €/mois. Loyer de base 1700 €/mois. Provision sur charges 80 €/mois, régularisation annuelle. Dépôt de garantie 1 700 €. Comprenant 183 € pour l’état des lieux. Classe énergie E, Classe climat E Montant moyen estimé des dépenses annuelles d’énergie pour un usage standard, établi à partir des prix de l’énergie de l’année 2023 : entre 1000.00 et 1400.00 €. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr"
