url,title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises,0
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/194094853.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 200 €,Paris (75001),Quartier Palais Royal,2 pièces,1 chambre,60 m²,Étage 5/–,"Très beau T2 60m² Paris 75001 ( location à la journée ,semaine et mois )?

En plein coeur des Halles et à 5 mins de musée du Louvre, vous êtes au centre de Paris. Appartement meublé de 60m2. Chambre confortable, séjour et cuisine ouverte spacieux bien équipée, canapé-lit, salle de bain agréable. Lave linge qui fait aussi sèche linge. Lave vaisselle et TV et WIFI. 
Tés ensoleillé et calme.
L’appartement est une extension de chez nous mais séparé avec entrée privé.
Il y'a une chambre lit 140 et dans le salon un canapé-lit.

Prix par nuit : 140 CC
Prix par semaine : 650 CC
Prix par mois : 2200 CC

IMPORTANT:
le logement situé au 5eme étage sans ascenseur.
La chambre peut accueillir 2 personnes.
Le canapé-lit dans le salon peut accueillir 2 personnes.Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,,Salle de bain (baignoire),"Séjour / salon, Entrée séparée",,,,,,,2 200 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/198380419.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 100 €,Paris (75001),Quartier Palais Royal,2 pièces,1 chambre,70 m²,,"A louer appartement de deux pièces, situé au coeur de Paris, rue de Rivoli.
Cet appartement est situé au quatrième étage d'un immeuble ancien malheureusement sans ascenseur.
Il comprend un séjour spacieux équipée d'une télévision à écran plat  , canapé ,  cuisine séparé entièrement équipée, une chambre , et une salle de bain WC commun.
L'appartement est idéale pour ceux qui cherchent a vivre au cœur de la ville, avec une variété de boutiques, de restaurants, et de musées à proximité.

Visites disponibles sur demande.Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,Cuisine séparée,Salle de bain (baignoire),Séjour / salon,,,,,,,2 100 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/203513653.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 860 €,Paris (75001),Quartier Les Halles,2 pièces,1 chambre,55 m²,,"Magnifique appartement charmant, parfait pour un couple La luminosité est le point fort de cet appartement. Le salon dispose d'un canapé, deux fauteuils et d'une télévision à écran plat, une table à manger pour quatre personnes. Il y a un grand balcon filant donnant un vue sur un grand jardin intérieur. La cuisine est lumineuse et entièrement équipée avec lave-vaisselle, réfrigérateur, four et plaques de cuisson, et une petite table haute qui est très pratique et convivial.

Un couloir long à gauche vous donne l'accès à la salle de bain, WC séparé et directement de la chambre. La chambre comprend un lit double confortable, de grands placards, l'accès au balcon également.
Demander plus d'informations au propriétaire","Balcon, Terrasse, Jardin",,,Ascenseur,,Salle de bain (baignoire),Placards / rangements,,,,,,,1 860 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/167715315.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,2 000 €,Paris (75001),Quartier Palais Royal,1 pièce,,43 m²,,"Face au Louvre, à coté du jardin des Tuileries,
LIBRE mi JUIN 2022
43 m²: 2 pièces EN ENFILADE, ENSOLEILLÉ & CALME
Rénovation 2020
Location entre particuliers en bail code civil,
Dossier locataire constitué pour tout rendez-vous 
Calme sur cour, orienté sud-est,
ensoleillé, lumineux,
4ème étage, AVEC ascenseur,
interphone à caméra,
Gardiens,
En enfilade:
ENTRÉE: 4 m² dressing,
SALON: 20 m2, canapé 160 convertible, table, bureau, nombreux placards cachés par grands miroirs
fibre optique,
CHAMBRE: 9 m² lit en 160, literie neuve, Placards cachés par de grands miroirs,
CUISINE séparée: 5 m² toute équipée, Table en bois pliante 4 personnes, four mixte, lave-vaisselle, plaques vitrocéramiques, réfrigérateur, placards, bouilloire, cafetière ""french press"", toute vaisselle utile,
SALLE DE DOUCHE: 6 m², sèche serviettes électrique, placard 
BUANDERIE avec machine à laver,
WC séparés,
Bonne isolation thermique,
fenêtres en bois double vitrage,
Stores extérieurs bois neufs,
épais rideaux occultants, VMC,
Porte vélo dans la cour.
Proche de l'Opéra, du Louvre, des TUILERIES
lignes de métro:
Palais Royal ou Tuileries ligne 1
Pyramides ligne 14 et 7
BUS 72
Appartement très agréable pour célibataire ou couple,
pouvant accueillir exceptionnellement 4 personnes,
puisque canapé lit dans séjour,
Caution: 2 mois de loyer 
Charges locatives incluses : 90 €/mois:
eau, ascenseur, gardiens, électricité et ménage des parties communes.Demander plus d'informations au propriétaire",Jardin,Exposition Sud,,Ascenseur,,,Entrée séparée,D,B,,,,,2 000 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/207136695.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,565 €,Paris (75001),Quartier Les Halles,1 pièce,,12 m²,,"Studio refait à neuf comprenant une pièce principale avec un coin bureau , une cuisine ainsi qu’une espace douche et toilette.Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,,,,,,,,,,565 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/176565515.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement à louer,1 444 €,Paris (75001),,2 pièces,,46 m²,Étage 5/–,"Quartier Châtelet-Les Halles, Rue Saint- Denis. Dans immeuble ancien, au 5eme étage sans ascenseur. Venez visiter cet appartement non meublée de deux pièces et une chambre bien agencé et avec le charme de l'ancien et calme.Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,,,,C,C,,,,,1 444 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/181029683.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 500 €,Paris (75001),,2 pièces,1 chambre,50 m²,Étage 4/–,"Appartement confortable de 50 m² est situé dans un quartier prestigieux. Composé de 2 pièces dont 1 chambre, cet appartement en location meublée peut accueillir jusqu'à 2 personnes lumineux et très calme au 4e étage avec ascenseur, bénéficie de l'équipement nécessaire pour un séjour parisien réussi.Demander plus d'informations au propriétaire",,Calme,,Ascenseur,,,Séjour / salon,,,,,,,1 500 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/167714667.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,1 950 €,Paris (75001),Quartier Palais Royal,1 pièce,,35 m²,,"Avenue de l'Opéra: Luxueux LOFT 35 m² dans somptueuse copropriété, ancien palace,
NEUF plein SUD avec cuisine équipée séparée lave-vaisselle et 
salle de bain séparée: baignoire,
WC japonais.
Machine à laver le linge
Loué en CODE BAIL CIVIL UNIQUEMENT: résidence secondaire ou bail société.
Meublé avec goût avec meubles haut de gamme couleurs turquoise, marine et corail.
Calme sur cour arborée.
Gardiens
Caméras
Digicode
ligne 14 métro automatique au pied de l'immeuble.
LETTRE de présentation de la part du candidat locataire.
 + DOSSIER LOCATAIRE et du GARANT complets. Le garant doit être imposable en France.
ou faire un dossier par Garantme.
PIÈCES OBLIGATOIRES :
pièce d'identité Recto-verso ou du passeport en cours de validité 
Avis d'imposition 2020  sur les revenus 2019 (toutes les pages)
Avis d'imposition 2021 sur les revenus 2020 (toutes les pages)
Bilan de société ou Contrat de travail en CDI et 3 dernières fiches de paye pour le locataire ou le garant 
Dernière facture EDF et taxe foncière si propriétaire.Demander plus d'informations au propriétaire",,"Exposition Sud, Calme",,"Ascenseur, Gardien, Digicode",Cuisine équipée,"Salle de bain (baignoire), Toilettes, Toilettes séparées",,,,,,,,1 950 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/194492443.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 350 €,Paris (75001),Quartier Les Halles,2 pièces,1 chambre,31 m²,,"Annonce également visible avec commentaires de locataires sur Airbnb référence 50717908

Attention, pour les location de moins de 10 mois, location en Bail Mobilité

En plein coeur de Paris, belle vue sur l'église Saint Eustache et le nouveau parc des Halles.
A proximité immédiate des commerces (restaurants, boutiques, supermarchés, cinéma, piscine..), il est idéalement situé pour se rendre rapidement en tout point de Paris.
Lumineux, au premier étage avec ascenseur d'un un immeuble de standing calme et sécurisé, il est entièrement équipé. Il dispose du wifi, lave-linge et sèche-linge. La cuisine est équipée d'un lave-vaisselle, d'un four, d'un micro-onde,  et de toute la vaisselle et couverts nécessaires.
Le linge de maison est fourni (draps, couvertures, serviettes, etc..)

Il dispose d'un lit 140x190 et est idéal pour 2 personnes. Un canapé convertible permet d'accueillir ponctuellement jusqu'à 2 personnes supplémentaires.

Le quartier est vivant, en grande partie piétonnier, les plus beaux sites de Paris sont accessibles à pieds.

Idéalement situé au 23 rue Berger, il est à proximité immédiate de nombreux transports. Les lignes de métro 1, 4, 7, 11, 14, et de RER A, B et D sont accessibles immédiatement à 30 secondes de l'appartement (Station Châtelet les Halles). Elles permettent de rejoindre les gares et aéroports simplement.

L'appartement est non fumeur. Les colocations ne sont pas acceptées.
Durée de location minimum: 1 mois
Loyer 2350 euros par mois.

N'hésitez pas à me contacter pour plus de renseignements.
Demander plus d'informations au propriétaire",Piscine,"Calme, Belle vue",,Ascenseur,,,,,,,,,,2 350 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/saint-germain-l-auxerrois/176442947.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,4 000 €,Paris (75001),Quartier Saint Germain l'Auxerrois,3 pièces,,100 m²,Étage 1/–,"Nous vous proposons en visite,cet appartement qui  possède deux chambres et peut acceuillir plusieurs personnes. La cuisine est entierement équipée et aménagée et la salle à manger donne sur le salon. La salle de bain dispose d'une douche, une baignoire, deux vasques et un WC séparé. Les deux chambres sont spacieuses et disposent chacunes d'un lit doubles et de tous les équipements néscéssaires pour que vous passiez un très bon séjour L'appartement se situe au 1er étage d'un immeube construit ayant fais objet de récente rénovation, L'accès y est sécurisé par un code,le chauffage est individuel au gaz, le bien  dispose d'une cave et d'un espace parking pour  la sécurité de vos biens et véhicules, le bien est libre actuellement.Demander plus d'informations au propriétaire","Balcon, Terrasse",,Cave,"Ascenseur, Digicode",,"Salle de bain (baignoire), Toilettes, Toilettes séparées","Séjour / salon, Salle à manger",C,D,,,,,4 000 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/174743377.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,2 400 €,Paris (75001),Quartier Palais Royal,1 pièce,,63 m²,Étage 6/–,"Appartement Rue de Richelieu Paris 75001 (proche statue Molière)
- 2 pièces (1 chambre) 63m2 refait a neuf en 2021
- 6eme étage avec ascenseur donnant sur cour (appartement calme)
- Appartement loué meublé et entièrement équipé (incluant lave-linge, sèche-linge, lave-vaisselle, four, micro-onde, TV Samsung)
- Copropriété sérieuse avec gardienne
- Loyer: EUR 2,250 + EUR 200 charges (EUR 2,450 charges comprises incluant chauffage). Deux mois de caution  
- Proche metro Palais Royal, Pyramides, Bourse 
Demander plus d'informations au propriétaire",,Calme,,"Ascenseur, Gardien",,,,,,,,,,2 400 € / mois,
